account_name,account_csn,account_type,account_segmentation
ROYAL HASKONING DHV,5114942858,Global - 1 Sales Rep,Growth
JR GROUP,5114944269,Global - 1 Sales Rep,Medium Growth
NEXCO GROUP,5114944596,Global - 1 Sales Rep,Growth
WSP GLOBAL,5114944708,Global - 1 Sales Rep,Growth
IKEA OF SWEDEN AB,5115468625,Global - 1 Sales Rep,High Growth
TECHINT COMPAGNIA TECHNICA INT,5115554257,Global - 1 Sales Rep,Operate Strategic
PRIMORIS SVCS CORP,5115554937,Global - 1 Sales Rep,Growth
DUPONT,5115759748,Global - 1 Sales Rep,Operate Strategic
CAVERION,5115815293,Global - 1 Sales Rep,Operate
Quanta Svcs,5117793886,Global - 1 Sales Rep,Growth
HYUNDAI GROUP,5117831186,Global - 1 Sales Rep,Operate
VALMET CORP.,5117924214,Global - 1 Sales Rep,Operate Strategic
NISSAN MOTOR CO.,5118877541,Global - Multi-Rep,Medium Growth
SONY PICTURES,5118877592,Global - 1 Sales Rep,Operate
BANDAI NAMCO,5120214944,Global - 1 Sales Rep,Operate Strategic
Webuild SpA,5120335558,Global - 1 Sales Rep,Growth
WALT DISNEY PARKS & RESORTS,5120383137,Global - 1 Sales Rep,Growth
FARADAY & FUTURE INC.,5121191110,Global - 1 Sales Rep,Growth
HANWHA ENG & CONSTRUCTION,5121321720,Global - 1 Sales Rep,Growth
FACEBOOK INC.,5121539530,Global - 1 Sales Rep,Growth
RIMAC AUTOMOBILI D.O.O.,5121755145,Global - 1 Sales Rep,Operate
HUNTER ROBERTS CONST GROUP,5122213426,Global - 1 Sales Rep,Operate Strategic
MEDTRONIC PUBLIC LTD CO. [GP],5122336713,Global - 1 Sales Rep,Growth
TENNECO INC,5122339557,Global - 1 Sales Rep,Operate
SPX FLOW TECHNOLOGY,5133325831,Global - 1 Sales Rep,Growth
CBRE GROUP INC.,5123545671,Global - 1 Sales Rep,Growth
ALPHABET INC.,5123589870,Global - 1 Sales Rep,Medium Growth
KRAFT HEINZ CO.,5123752924,Global - 1 Sales Rep,Growth
CDM SMITH INC. [GP],5124176656,Global - 1 Sales Rep,Growth
COVESTRO AG,5124629941,Global - 1 Sales Rep,Growth
VALEO,5124857052,Global - 1 Sales Rep,Operate
NEXTEV LTD,5125280532,Global - 1 Sales Rep,Growth
KARMA AUTOMOTIVE LLC,5125290412,Global - 1 Sales Rep,Growth
LAFARGEHOLCIM [GP],5125776583,Global - 1 Sales Rep,Growth
VENTIA PTY LTD,5127441569,Global - 1 Sales Rep,Operate Strategic
Thyssenkrupp Elevator AG,5127445623,Global - 1 Sales Rep,Operate
ADIENT PLC,5127449595,Global - 1 Sales Rep,Operate
AE INDUSTRIAL PARTNERS LLC,5128396258,Global - 1 Sales Rep,Operate Strategic
ARCONIC INC,5128566905,Global - 1 Sales Rep,Growth
LUCID MOTORS,5129148767,Global - 1 Sales Rep,Medium Growth
KATERRA,5130468457,Regional - Director Led (Non-Global),Operate
JELD WEN,5130729702,Global - 1 Sales Rep,Growth
Anheuser - Busch Inbev SA,5130729793,Global - 1 Sales Rep,Growth
INTERTEK GROUP PLC,5130732326,Global - 1 Sales Rep,Operate
Technipfmc,5130733141,Global - 1 Sales Rep,Medium Growth
MARATHON PETROLEUM CORP.,5130736017,Global - 1 Sales Rep,Operate Strategic
BYTON GMBH,5131040553,Regional - Director Led (Non-Global),Operate
SURBANA JURONG PRIVATE LTD,5132464010,Global - 1 Sales Rep,Medium Growth
BONAVA AB,5132503421,Global - 1 Sales Rep,Operate Strategic
APTIM HOLDINGS LLC,5133239219,Global - 1 Sales Rep,Growth
PEPSICO INC,5133266416,Global - 1 Sales Rep,Growth
PLAZA CONSTRUCTION CORP.,5133451479,Global - 1 Sales Rep,Operate
MATERIAL HANDLING SYSTEMS,5134332534,Global - 1 Sales Rep,Medium Growth
NVENT,5135108983,Global - 1 Sales Rep,Growth
FERRARI NV,5136505642,Global - 1 Sales Rep,Operate
Nikola Corp,5138161172,Global - 1 Sales Rep,Operate Strategic
First Reserve Corp,5138505069,Global - 1 Sales Rep,Growth
BERRY GLOBAL GROUP INC,5138505325,Global - 1 Sales Rep,Growth
RICHARD INDUSTRIAL GROUP,5138505417,Global - 1 Sales Rep,Operate
APTIV PLC,5138508569,Global - 1 Sales Rep,Operate
Grupo ACS,5138783586,Regional - Multi-Rep (Non-Global),Growth
SIGNIFY N.V.,5140000035,Global - 1 Sales Rep,Growth
CANOO INC.,5142344148,Global - 1 Sales Rep,Growth
Seres,5142540072,Global - 1 Sales Rep,Operate
Nobel Biocare Services AG,5143693186,Global - 1 Sales Rep,Growth
ROSENDIN HOLDINGS INC.,5145544979,Global - 1 Sales Rep,Growth
Next.e.Go Mobile SE,5145591666,Global - 1 Sales Rep,Operate
PRIMETALS TECHNOLOGIES LTD,5149087633,Global - 1 Sales Rep,Operate Strategic
CARRIER GLOBAL CORP.,5149664546,Global - 1 Sales Rep,Growth
DAIMLER TRUCK AG,5149682005,Global - 1 Sales Rep,Operate
TRANE TECHNOLOGIES,5150337137,Global - 1 Sales Rep,Growth
HITACHI ABB POWER GRIDS,5150580303,Global - Multi-Rep,Growth
CELEROS FLOW TECHNOLOGY,5150650963,Global - 1 Sales Rep,Operate
PRIME LIFE TECHNOLOGIES CORP.,5150783310,Global - 1 Sales Rep,Operate
SIEMENS ENERGY AG,5150898722,Global - 1 Sales Rep,Growth
Stellantis N.V.,5151248108,Global - Multi-Rep,High Growth
VITESCO TECHNOLOGIES GROUP AG,5151423489,Global - 1 Sales Rep,Growth
Grupo Villar Mir,5104191640,Global - 1 Sales Rep,Operate
T.EN NET SAS,5500561701,Global - 1 Sales Rep,Medium Growth
MWH Treatment Ltd,5113006216,Global - 1 Sales Rep,Operate
DH DENTAL BUSINESS SERVICES LLC,5151516501,Global - 1 Sales Rep,Operate
WB GAMES Inc.,5070253163,Global - 1 Sales Rep,Operate Strategic
